# delta; F_drive; F_brake; gamma_y
-0.00121; 81.39607; -0.00011; -1.18008
-0.00134; 81.39271; -0.00011; -1.00876
-0.00102; 81.38690; -0.00011; -0.74581
-0.00091; 81.38430; -0.00011; -0.57671
-0.00134; 81.38499; -0.00011; -0.54105
-0.00168; 81.38507; -0.00011; -0.45415
0.00056; 81.38052; -0.00011; 0.19654
0.00389; 81.40297; -0.00011; 0.82675
0.00744; 81.44905; -0.00011; 1.15905
0.01103; 81.50737; -0.00011; 1.15892
0.01375; 81.54603; -0.00011; 0.66236
0.01005; 81.45506; -0.00011; -1.37248
0.00632; 81.46232; -0.00011; -2.93215
0.00260; 81.52065; -0.00011; -4.04048
-0.00107; 81.59619; -0.00011; -4.72489
-0.00290; 81.60844; -0.00011; -4.65081
0.00069; 81.47750; -0.00011; -3.29419
0.00431; 81.42998; -0.00011; -2.35075
0.00571; 81.43281; -0.00011; -2.26037
0.00215; 81.47560; -0.00011; -3.33355
-0.00128; 81.53669; -0.00011; -3.98522
-0.00181; 81.51835; -0.00011; -3.67721
0.00129; 81.43835; -0.00011; -2.59253
0.00193; 81.42806; -0.00011; -2.37636
-0.00092; 81.46611; -0.00011; -2.95993
-0.00192; 81.46718; -0.00011; -2.86014
0.00016; 81.41795; -0.00011; -2.04024
0.00032; 81.41123; -0.00011; -1.86530
-0.00157; 81.42972; -0.00011; -2.14631
-0.00227; 81.42768; -0.00011; -1.99134
-0.00199; 81.41097; -0.00011; -1.58077
-0.00152; 81.39742; -0.00011; -1.18572
-0.00111; 81.38935; -0.00011; -0.87601
-0.00079; 81.38490; -0.00011; -0.64504
-0.00057; 81.38256; -0.00011; -0.47957
-0.00057; 81.38178; -0.00011; -0.39282
-0.00107; 81.38295; -0.00011; -0.41716
-0.00192; 81.38609; -0.00011; -0.46912
-0.00072; 81.38017; -0.00011; -0.01259
0.00250; 81.39230; -0.00011; 0.72366
0.00605; 81.43265; -0.00011; 1.18831
0.00968; 81.48911; -0.00011; 1.32125
0.01330; 81.55320; -0.00011; 1.12411
0.01068; 81.46215; -0.00011; -0.67974
0.00706; 81.44363; -0.00011; -2.32211
0.00359; 81.48392; -0.00011; -3.49289
0.00610; 81.46511; -0.00011; -3.01789
0.00967; 81.47628; -0.00011; -2.58015
0.01329; 81.52434; -0.00011; -2.47703
0.01311; 81.55722; -0.00011; -3.49691
0.00939; 81.62162; -0.00011; -5.15986
0.00566; 81.72683; -0.00011; -6.37046
0.00194; 81.83830; -0.00011; -7.15834
0.00254; 81.77201; -0.00011; -6.66377
0.00626; 81.64858; -0.00011; -5.60569
0.01000; 81.60949; -0.00011; -4.95007
0.01374; 81.63138; -0.00011; -4.67103
0.01748; 81.70010; -0.00011; -4.74109
0.02122; 81.80916; -0.00011; -5.13398
0.01965; 81.91898; -0.00011; -6.93421
0.01591; 82.09832; -0.00011; -8.90741
0.01217; 82.30927; -0.00011; -10.40077
0.00844; 82.51079; -0.00011; -11.45292
0.00470; 82.67678; -0.00011; -12.10069
0.00096; 82.79274; -0.00011; -12.37701
-0.00276; 82.85293; -0.00011; -12.31043
-0.00647; 82.85749; -0.00011; -11.92382
-0.00827; 82.67023; -0.00011; -10.85851
-0.00463; 82.14525; -0.00011; -8.59184
-0.00106; 81.82302; -0.00011; -6.80673
-0.00319; 81.83084; -0.00011; -6.64201
-0.00591; 81.85025; -0.00011; -6.42968
-0.00675; 81.76598; -0.00011; -5.60526
-0.00553; 81.61575; -0.00011; -4.33864
-0.00413; 81.51083; -0.00011; -3.23288
-0.00301; 81.45116; -0.00011; -2.39255
-0.00222; 81.41926; -0.00011; -1.78255
-0.00167; 81.40198; -0.00011; -1.33676
-0.00126; 81.39231; -0.00011; -1.00375
-0.00095; 81.38681; -0.00011; -0.75175
-0.00071; 81.38368; -0.00011; -0.56093
-0.00053; 81.38192; -0.00011; -0.41743
-0.00039; 81.38095; -0.00011; -0.31053
-0.00029; 81.38041; -0.00011; -0.23131
-0.00022; 81.38011; -0.00011; -0.17257
-0.00016; 81.37995; -0.00011; -0.12894
-0.00012; 81.37986; -0.00011; -0.09644
-0.00009; 81.37981; -0.00011; -0.07219
-0.00007; 81.37978; -0.00011; -0.05411
-0.00005; 81.37976; -0.00011; -0.04059
-0.00004; 81.37976; -0.00011; -0.03048
-0.00003; 81.37975; -0.00011; -0.02291
-0.00002; 81.37975; -0.00011; -0.01725
-0.00002; 81.37975; -0.00011; -0.01303
-0.00001; 81.37975; -0.00011; -0.00987
-0.00001; 81.37974; -0.00011; -0.00749
-0.00001; 81.37974; -0.00011; -0.00568
-0.00001; 81.37974; -0.00011; -0.00430
-0.00001; 81.37974; -0.00011; -0.00324
-0.00001; 81.37974; -0.00011; -0.00243
-0.00001; 81.37974; -0.00011; -0.00180
-0.00001; 81.37974; -0.00011; -0.00128
-0.00001; 81.37974; -0.00011; -0.00084
-0.00001; 81.37974; -0.00011; -0.00043
-0.00002; 81.37974; -0.00011; -0.00004
-0.00003; 81.37974; -0.00011; 0.00037
-0.00003; 81.37974; -0.00011; 0.00082
-0.00005; 81.37975; -0.00011; 0.00131
-0.00006; 81.37975; -0.00011; 0.00198
-0.00008; 81.37975; -0.00011; 0.00346
-0.00009; 81.37975; -0.00011; 0.00714
-0.00010; 81.37975; -0.00011; 0.01332
-0.00014; 81.37976; -0.00011; 0.01275
-0.00040; 81.37989; -0.00011; -0.02915
-0.00119; 81.38138; -0.00011; -0.15706
-0.00235; 81.38581; -0.00011; -0.27957
-0.00112; 81.38077; -0.00011; 0.20491
0.00217; 81.39556; -0.00011; 0.97439
0.00576; 81.43850; -0.00011; 1.45474
0.00943; 81.49639; -0.00011; 1.59475
0.01309; 81.56066; -0.00011; 1.40014
0.01156; 81.48157; -0.00011; -0.18197
0.00783; 81.43992; -0.00011; -1.96799
0.00407; 81.47277; -0.00011; -3.29191
0.00030; 81.54062; -0.00011; -4.18241
-0.00346; 81.61736; -0.00011; -4.67208
-0.00723; 81.68809; -0.00011; -4.79213
-0.01100; 81.74682; -0.00011; -4.57140
-0.01477; 81.79438; -0.00011; -4.03612
-0.01854; 81.83681; -0.00011; -3.21021
-0.02232; 81.88409; -0.00011; -2.11560
-0.02609; 81.94901; -0.00011; -0.77260
-0.02986; 82.04636; -0.00011; 0.79972
-0.03364; 82.19219; -0.00011; 2.58327
-0.03391; 82.26167; -0.00011; 5.29162
-0.03013; 82.38440; -0.00011; 8.66128
-0.02634; 82.67646; -0.00011; 11.43503
-0.02256; 83.04510; -0.00011; 13.65628
-0.01877; 83.42298; -0.00011; 15.37103
-0.01498; 83.76387; -0.00011; 16.62343
-0.01119; 84.03827; -0.00011; 17.45369
-0.00739; 84.22964; -0.00011; 17.89737
-0.00360; 84.33138; -0.00011; 17.98547
0.00020; 84.34447; -0.00011; 17.74490
0.00400; 84.27570; -0.00011; 17.19915
0.00779; 84.13635; -0.00011; 16.36894
0.01159; 83.94109; -0.00011; 15.27292
0.01538; 83.70719; -0.00011; 13.92825
0.01917; 83.45373; -0.00011; 12.35110
0.02295; 83.20106; -0.00011; 10.55711
0.02673; 82.97016; -0.00011; 8.56166
0.03050; 82.78222; -0.00011; 6.38015
0.03427; 82.65810; -0.00011; 4.02811
0.03803; 82.61795; -0.00011; 1.52124
0.04178; 82.68088; -0.00011; -1.12461
0.04553; 82.86464; -0.00011; -3.89360
0.04179; 82.85359; -0.00011; -8.34372
0.03805; 83.17079; -0.00011; -12.12630
0.03430; 83.67622; -0.00011; -15.28049
0.03056; 84.26264; -0.00011; -17.85672
0.02682; 84.85211; -0.00011; -19.90753
0.02307; 85.39056; -0.00010; -21.48253
0.01932; 85.84248; -0.00010; -22.62594
0.01556; 86.18646; -0.00010; -23.37597
0.01180; 86.41170; -0.00010; -23.76488
0.00803; 86.51541; -0.00010; -23.81968
0.00425; 86.50097; -0.00010; -23.56281
0.00047; 86.37660; -0.00010; -23.01307
-0.00333; 86.15437; -0.00011; -22.18634
-0.00713; 85.84954; -0.00011; -21.09639
-0.01095; 85.48000; -0.00011; -19.75553
-0.01477; 85.06577; -0.00011; -18.17528
-0.01860; 84.62862; -0.00011; -16.36690
-0.02243; 84.19162; -0.00011; -14.34188
-0.02628; 83.77868; -0.00011; -12.11234
-0.03012; 83.41410; -0.00011; -9.69132
-0.03398; 83.12204; -0.00011; -7.09299
-0.03783; 82.92603; -0.00011; -4.33274
-0.04168; 82.84844; -0.00012; -1.42712
-0.04554; 82.91003; -0.00012; 1.60622
-0.04939; 83.12954; -0.00012; 4.74884
-0.05324; 83.52340; -0.00012; 7.98178
-0.05709; 84.10552; -0.00011; 11.28592
-0.06093; 84.88721; -0.00011; 14.64237
-0.06477; 85.87724; -0.00011; 18.03284
-0.06861; 87.08200; -0.00011; 21.43998
-0.07244; 88.50569; -0.00011; 24.84754
-0.07627; 90.15060; -0.00010; 28.24045
-0.08009; 92.01723; -0.00010; 31.60493
-0.08391; 94.10545; -0.00010; 34.92890
-0.08798; 0.00001; -498.31771; 43.02851
-0.09229; 0.00002; -364.40435; 45.54573
-0.09666; 0.00084; -0.00360; 44.23534
-0.10111; 0.00069; -0.00111; 45.90432
-0.10564; 0.00069; -0.00051; 47.82796
-0.11027; 0.00083; -0.00028; 49.89825
-0.11505; 0.00126; -0.00017; 52.03725
-0.11997; 0.00315; -0.00012; 54.18133
-0.12502; 23.25440; -0.00007; 56.10921
-0.12976; 502.61290; -0.00001; 54.87331
-0.13414; 589.16898; -0.00000; 55.43044
-0.13474; 578.05772; -0.00000; 58.30854
-0.13104; 560.94425; -0.00000; 62.46469
-0.12752; 131.02231; -0.00003; 68.09004
-0.12415; 140.29337; -0.00003; 72.60358
-0.12090; 148.63317; -0.00003; 76.07577
-0.11777; 156.14344; -0.00003; 78.82327
-0.11473; 162.92664; -0.00003; 81.04373
-0.11178; 169.07233; -0.00003; 82.87073
-0.10889; 120.81926; -0.00004; 84.54982
-0.10598; 0.00107; -0.00014; 86.30869
-0.10297; 0.00070; -0.00017; 87.82189
-0.09975; 0.00049; -0.00022; 89.12909
-0.09621; 0.00036; -0.00032; 90.25305
-0.09233; 0.00028; -0.00063; 91.17964
-0.08800; 0.00003; -258.00097; 94.55796
-0.08322; 0.00003; -250.72724; 95.18885
-0.07797; 0.00003; -249.32118; 95.19373
-0.07216; 0.00003; -256.02420; 94.34200
-0.06561; 0.00003; -275.80418; 91.97007
-0.05790; 0.00003; -320.96992; 85.93863
-0.04764; 0.00002; -421.20502; 67.43769
-0.03993; 654.75024; -0.00001; 33.47107
-0.03362; 663.41642; -0.00001; 29.32093
-0.02820; 664.06284; -0.00001; 29.40104
-0.02340; 663.07674; -0.00001; 30.33737
-0.01905; 661.66622; -0.00001; 31.43946
-0.01504; 660.18305; -0.00001; 32.52143
-0.01129; 658.75826; -0.00001; 33.52562
-0.00763; 366.27071; -0.00002; 35.18988
-0.00395; 93.55477; -0.00010; 36.74130
-0.00025; 94.27695; -0.00010; 37.15908
0.00347; 94.42260; -0.00009; 36.85581
0.00721; 94.11283; -0.00009; 35.97451
0.01098; 93.45605; -0.00009; 34.61399
0.01476; 92.54719; -0.00009; 32.84490
0.01856; 91.46888; -0.00010; 30.71957
0.02237; 90.29329; -0.00010; 28.27857
0.02620; 89.08393; -0.00010; 25.55533
0.03004; 87.89715; -0.00010; 22.57932
0.03389; 86.78313; -0.00010; 19.37818
0.03774; 85.78637; -0.00010; 15.97909
0.04160; 84.94583; -0.00010; 12.40953
0.04546; 84.29492; -0.00010; 8.69760
0.04931; 83.86138; -0.00011; 4.87188
0.05316; 83.66718; -0.00011; 0.96100
0.05700; 83.72866; -0.00011; -3.00723
0.05743; 83.81651; -0.00011; -7.71318
0.05361; 84.11141; -0.00011; -12.97415
0.04979; 84.82274; -0.00011; -17.46319
0.04598; 85.76449; -0.00010; -21.23034
0.04217; 86.79552; -0.00010; -24.34192
0.03836; 87.81457; -0.00010; -26.86693
0.03456; 88.75226; -0.00010; -28.86979
0.03076; 89.56329; -0.00010; -30.40719
0.02695; 90.21999; -0.00010; -31.52729
0.02315; 90.70745; -0.00010; -32.27010
