# delta; F_drive; F_brake; gamma_y
0.02053; 81.81984; -0.00006; 2.13694
0.01464; 81.53408; -0.00006; -1.05870
-0.00546; 81.84514; -0.00006; -6.45291
-0.00677; 81.78437; -0.00006; -5.75728
-0.00548; 81.62589; -0.00006; -4.45775
-0.00413; 81.51916; -0.00006; -3.35502
-0.00286; 81.45384; -0.00006; -2.47164
-0.00074; 81.40545; -0.00006; -1.58996
0.01365; 81.58283; -0.00006; 1.59393
0.00965; 81.44727; -0.00006; -0.56296
-0.00327; 81.56243; -0.00006; -4.06546
-0.00416; 81.54075; -0.00006; -3.65144
-0.00343; 81.47991; -0.00006; -2.85560
-0.00264; 81.43783; -0.00006; -2.17058
-0.00200; 81.41292; -0.00006; -1.63972
-0.00153; 81.39877; -0.00006; -1.24005
-0.00118; 81.39064; -0.00006; -0.93654
-0.00088; 81.38582; -0.00006; -0.70002
-0.00055; 81.38268; -0.00006; -0.49986
0.00219; 81.38420; -0.00006; 0.15763
0.01696; 81.76937; -0.00006; 3.02686
0.01348; 81.53726; -0.00006; 0.58017
-0.00339; 81.57224; -0.00006; -4.16793
-0.00438; 81.55149; -0.00006; -3.75658
-0.00358; 81.48498; -0.00006; -2.91647
-0.00269; 81.43928; -0.00006; -2.19410
-0.00173; 81.40981; -0.00006; -1.58969
0.00098; 81.38452; -0.00006; -0.74898
0.01956; 81.86085; -0.00006; 3.08617
0.01499; 81.56035; -0.00006; 0.18213
-0.00428; 81.67670; -0.00006; -5.16742
-0.00545; 81.64247; -0.00006; -4.64129
-0.00442; 81.53981; -0.00006; -3.59518
-0.00336; 81.47105; -0.00006; -2.71167
-0.00253; 81.43116; -0.00006; -2.03463
-0.00189; 81.40853; -0.00006; -1.52359
-0.00136; 81.39541; -0.00006; -1.13053
-0.00077; 81.38710; -0.00006; -0.80177
0.00027; 81.38149; -0.00006; -0.45527
0.00130; 81.38105; -0.00006; -0.22910
0.00669; 81.42895; -0.00006; 0.79606
0.00697; 81.42038; -0.00006; 0.20234
0.00086; 81.40495; -0.00006; -1.70241
