# track_x; track_y
-75.82057; 117.87770
-76.79896; 117.98839
-77.78196; 118.00938
-78.76018; 117.93892
-79.72425; 117.77526
-80.66477; 117.51665
-81.57240; 117.16142
-82.43978; 116.71150
-83.26249; 116.17419
-84.03635; 115.55723
-84.75718; 114.86836
-85.42080; 114.11531
-86.02301; 113.30583
-86.55966; 112.44764
-87.02654; 111.54848
-87.41948; 110.61609
-87.73438; 109.65817
-87.97063; 108.68103
-88.13257; 107.68901
-88.22486; 106.68631
-88.25220; 105.67712
-88.21927; 104.66564
-88.13074; 103.65606
-87.99130; 102.65259
-87.80563; 101.65941
-87.57839; 100.68068
-87.31318; 99.71847
-87.01218; 98.77205
-86.67748; 97.84052
-86.31115; 96.92298
-85.91528; 96.01851
-85.49195; 95.12620
-85.04325; 94.24515
-84.57126; 93.37444
-84.07806; 92.51317
-83.56573; 91.66043
-83.03637; 90.81531
-82.49204; 89.97689
-81.93484; 89.14428
-81.36684; 88.31656
-80.79014; 87.49282
-80.20681; 86.67216
-79.61893; 85.85366
-79.02859; 85.03642
-78.43788; 84.21952
-77.84884; 83.40207
-77.26258; 82.58361
-76.67897; 81.76418
-76.09784; 80.94388
-75.51901; 80.12281
-74.94230; 79.30106
-74.36752; 78.47871
-73.79450; 77.65586
-73.22305; 76.83260
-72.65299; 76.00903
-72.08414; 75.18524
-71.51631; 74.36132
-70.94933; 73.53736
-70.38302; 72.71345
-69.81718; 71.88969
-69.25165; 71.06617
-68.68624; 70.24298
-68.12076; 69.42021
-67.55504; 68.59796
-66.98890; 67.77631
-66.42225; 66.95530
-65.85510; 66.13488
-65.28747; 65.31501
-64.71939; 64.49564
-64.15087; 63.67672
-63.58193; 62.85822
-63.01260; 62.04008
-62.44289; 61.22225
-61.87283; 60.40470
-61.30243; 59.58738
-60.73172; 58.77023
-60.16072; 57.95322
-59.58944; 57.13630
-59.01790; 56.31943
-58.44613; 55.50255
-57.87415; 54.68562
-57.30198; 53.86859
-56.72964; 53.05143
-56.15714; 52.23408
-55.58451; 51.41650
-55.01177; 50.59864
-54.43893; 49.78046
-53.86603; 48.96190
-53.29307; 48.14294
-52.72009; 47.32351
-52.14709; 46.50357
-51.57410; 45.68308
-51.00115; 44.86200
-50.42824; 44.04027
-49.85540; 43.21785
-49.28266; 42.39469
-48.71003; 41.57075
-48.13752; 40.74598
-47.56517; 39.92035
-46.99300; 39.09379
-46.42101; 38.26626
-45.84924; 37.43773
-45.27770; 36.60814
-44.70644; 35.77743
-44.13612; 34.94538
-43.56804; 34.11154
-43.00349; 33.27547
-42.44379; 32.43674
-41.89026; 31.59490
-41.34420; 30.74951
-40.80692; 29.90013
-40.27974; 29.04633
-39.76396; 28.18766
-39.26090; 27.32368
-38.77187; 26.45396
-38.29817; 25.57804
-37.84112; 24.69549
-37.40203; 23.80588
-36.98221; 22.90876
-36.58298; 22.00368
-36.20563; 21.09022
-35.85149; 20.16792
-35.52187; 19.23635
-35.21802; 18.29510
-34.94043; 17.34436
-34.68880; 16.38486
-34.46283; 15.41738
-34.26219; 14.44266
-34.08658; 13.46149
-33.93568; 12.47461
-33.80917; 11.48279
-33.70676; 10.48679
-33.62811; 9.48739
-33.57292; 8.48533
-33.54088; 7.48139
-33.53167; 6.47633
-33.54498; 5.47090
-33.58050; 4.46588
-33.63791; 3.46202
-33.71690; 2.46009
-33.81715; 1.46085
-33.93836; 0.46507
-34.08023; -0.52651
-34.24294; -1.51322
-34.42704; -2.49451
-34.63312; -3.46984
-34.86175; -4.43864
-35.11351; -5.40037
-35.38897; -6.35447
-35.68871; -7.30038
-36.01330; -8.23756
-36.36333; -9.16545
-36.73936; -10.08350
-37.14198; -10.99115
-37.57176; -11.88785
-38.02928; -12.77305
-38.51511; -13.64619
-39.02983; -14.50673
-39.57402; -15.35410
-40.14825; -16.18776
-40.75309; -17.00714
-41.38914; -17.81171
-42.05686; -18.60078
-42.75537; -19.37173
-43.48263; -20.12037
-44.23660; -20.84250
-45.01522; -21.53389
-45.81645; -22.19032
-46.63824; -22.80756
-47.47853; -23.38139
-48.33528; -23.90761
-49.20643; -24.38197
-50.08994; -24.80027
-50.98374; -25.15827
-51.88581; -25.45177
-52.79407; -25.67653
-53.70648; -25.82834
