# path_x; path_y
88.73600; -129.03473
89.30214; -129.71290
89.84345; -130.40747
90.35986; -131.11673
90.83874; -131.84714
91.28025; -132.59534
91.68811; -133.35641
92.06222; -134.12830
92.39959; -134.91042
92.72404; -135.69156
93.04934; -136.47491
93.37855; -137.26992
93.71228; -138.08037
94.05065; -138.90898
94.39344; -139.75758
94.74022; -140.62707
95.09043; -141.51758
95.44349; -142.42855
95.79883; -143.35881
96.15593; -144.30671
96.51436; -145.27017
96.87375; -146.24681
97.23380; -147.23400
97.59429; -148.22894
97.95502; -149.22870
98.31585; -150.23032
98.67662; -151.23083
99.03717; -152.22732
99.39731; -153.21699
99.75681; -154.19723
100.11535; -155.16565
100.47259; -156.12018
100.82810; -157.05912
101.18142; -157.98123
101.53207; -158.88583
101.87960; -159.77284
102.22365; -160.64293
102.56402; -161.49754
102.90080; -162.33898
103.23507; -163.17228
103.56761; -164.00068
103.89835; -164.82449
104.25886; -165.62900
104.65102; -166.40952
105.07716; -167.16056
105.53230; -167.88071
106.01587; -168.56637
106.52357; -169.21697
107.05465; -169.83003
107.60720; -170.40453
108.18147; -170.93804
108.77387; -171.43341
109.38769; -171.88645
110.02412; -172.29578
110.69019; -172.66295
111.38730; -172.99463
112.11367; -173.28451
112.86397; -173.53395
113.63535; -173.73532
114.42376; -173.87736
115.22114; -173.96929
116.02215; -174.00786
116.82101; -173.99313
117.61191; -173.92370
118.38825; -173.79523
119.14399; -173.61035
119.87835; -173.38604
120.58749; -173.11854
121.27542; -172.80295
121.94771; -172.43647
122.61029; -172.03154
123.25635; -171.57930
123.87428; -171.07053
124.46878; -170.51825
125.03993; -169.92750
125.58104; -169.29712
126.08496; -168.62742
126.55302; -167.92581
126.98136; -167.19549
127.37065; -166.44246
127.71916; -165.67094
128.02792; -164.88622
128.29445; -164.09183
128.52699; -163.28940
128.72073; -162.47357
128.88164; -161.64576
129.00496; -160.80537
129.09654; -159.95393
129.15145; -159.09190
129.17080; -158.22089
129.15576; -157.34256
129.10781; -156.45862
129.02580; -155.57112
128.91079; -154.68213
128.76273; -153.79399
128.58380; -152.90874
128.37808; -152.02787
128.14562; -151.15261
127.88541; -150.28300
127.59981; -149.41828
127.28922; -148.55833
126.95575; -147.70245
126.60156; -146.84988
126.22579; -146.00117
125.82862; -145.15658
125.41463; -144.31430
124.98582; -143.47358
124.53512; -142.63861
124.06439; -141.80920
123.58304; -140.98062
123.09085; -140.15340
122.58912; -139.32726
122.08595; -138.49878
121.58178; -137.66869
121.07643; -136.83679
120.56981; -136.00291
120.06180; -135.16695
119.55235; -134.32883
119.04141; -133.48853
118.52897; -132.64605
118.01504; -131.80140
117.49963; -130.95465
116.98279; -130.10585
116.46456; -129.25509
115.94501; -128.40245
115.42419; -127.54803
114.90219; -126.69194
114.37960; -125.83502
113.85699; -124.97807
113.33436; -124.12109
112.81170; -123.26408
112.28903; -122.40704
111.76635; -121.54998
111.24366; -120.69292
110.72096; -119.83585
110.19827; -118.97878
109.67558; -118.12172
109.15291; -117.26468
108.63025; -116.40767
108.10762; -115.55069
107.58502; -114.69375
107.06245; -113.83686
106.53992; -112.98003
106.01744; -112.12327
105.49501; -111.26659
104.97265; -110.40999
104.45035; -109.55349
103.92812; -108.69709
103.40597; -107.84081
102.88391; -106.98466
102.36194; -106.12863
101.84006; -105.27275
101.31829; -104.41702
100.79664; -103.56145
100.27510; -102.70605
99.75368; -101.85082
99.23237; -100.99576
98.71116; -100.14083
98.19003; -99.28602
97.66899; -98.43134
97.14803; -97.57677
96.62714; -96.72231
96.10632; -95.86795
95.58557; -95.01369
95.06489; -94.15951
94.54426; -93.30542
94.02368; -92.45141
93.50316; -91.59747
92.98268; -90.74359
92.46225; -89.88978
91.94185; -89.03602
91.42149; -88.18231
90.90115; -87.32864
90.38085; -86.47501
89.86056; -85.62141
89.34030; -84.76784
88.82005; -83.91429
88.29981; -83.06076
87.77958; -82.20723
87.25935; -81.35371
86.73912; -80.50019
86.21888; -79.64666
85.69864; -78.79312
85.17839; -77.93956
84.65811; -77.08598
84.13782; -76.23237
83.61750; -75.37872
83.09716; -74.52504
82.57678; -73.67130
