# path_x; path_y
60.02645; -124.12284
60.79062; -123.65132
61.57784; -123.20959
62.38793; -122.79902
63.21850; -122.42222
64.06702; -122.08179
64.92942; -121.77647
65.80209; -121.50509
66.68270; -121.26950
67.56887; -121.07176
68.45723; -120.90957
69.34510; -120.78157
70.23048; -120.68837
71.11134; -120.62899
71.98602; -120.59974
72.85361; -120.60255
73.71661; -120.64382
74.57795; -120.72232
75.43761; -120.83476
76.29513; -120.98141
77.15037; -121.16036
78.00116; -121.37685
78.84474; -121.63448
79.68084; -121.92837
80.50810; -122.25764
81.32287; -122.62607
82.12309; -123.03268
82.91113; -123.46882
83.68494; -123.93513
84.43733; -124.43918
85.16903; -124.97531
85.88311; -125.53613
86.57640; -126.12309
87.24526; -126.73745
87.89342; -127.37241
88.52376; -128.02340
89.12972; -128.69505
89.70802; -129.38785
90.26192; -130.09697
90.78873; -130.82267
91.27843; -131.56951
91.73027; -132.33480
92.14797; -133.11364
92.53137; -133.90402
92.87745; -134.70537
93.18974; -135.51421
93.48025; -136.33057
93.76171; -137.15757
94.04661; -137.99498
94.33984; -138.84499
94.63967; -139.71063
94.94612; -140.59343
95.25912; -141.49409
95.57830; -142.41261
95.90307; -143.34837
96.23268; -144.30018
96.56635; -145.26639
96.90324; -146.24495
97.24252; -147.23352
97.58345; -148.22950
97.92529; -149.23019
98.26734; -150.23279
98.60895; -151.23450
98.94944; -152.23261
99.28821; -153.22451
99.62465; -154.20782
99.95817; -155.18044
100.28823; -156.14059
100.61429; -157.08695
100.93588; -158.01866
101.25265; -158.93546
101.56444; -159.83773
101.87140; -160.72652
102.17411; -161.60359
102.47342; -162.47153
102.77439; -163.33398
103.08713; -164.19005
103.42238; -165.03392
103.79010; -165.85836
104.19399; -166.65755
104.63144; -167.42852
105.09948; -168.16892
105.59706; -168.87556
106.12151; -169.54674
106.67079; -170.18094
107.24380; -170.77647
107.83999; -171.33174
108.45819; -171.84663
109.09948; -172.31927
109.76574; -172.74705
110.46212; -173.13224
111.19117; -173.47623
111.94871; -173.77775
112.73030; -174.03648
113.53302; -174.24515
114.35264; -174.39465
115.18204; -174.48782
116.01509; -174.52782
116.84639; -174.51252
117.67020; -174.44042
118.47996; -174.30708
119.27009; -174.11676
120.03840; -173.88080
120.78232; -173.60067
121.50399; -173.27002
122.20965; -172.89021
122.90059; -172.46571
123.57216; -171.99242
124.21684; -171.46617
124.83308; -170.89212
125.42342; -170.27869
125.98335; -169.62658
126.50520; -168.93526
126.98818; -168.21049
127.43105; -167.45725
127.83299; -166.68046
128.19335; -165.88484
128.51236; -165.07520
128.79019; -164.25589
129.02845; -163.42699
129.22951; -162.58614
129.39419; -161.73349
129.52240; -160.86942
129.61493; -159.99479
129.67113; -159.11061
