# path_x; path_y
3.00074; -142.49649
3.40617; -143.39003
3.84462; -144.27312
4.31733; -145.14534
4.82556; -146.00626
5.37016; -146.85490
5.95032; -147.68800
6.56477; -148.50168
7.21225; -149.29207
7.89150; -150.05529
8.60125; -150.78747
9.34025; -151.48473
10.10724; -152.14321
10.90095; -152.75903
11.72013; -153.32831
12.56350; -153.84718
13.42982; -154.31177
14.31782; -154.71820
15.22624; -155.06260
16.15381; -155.34109
17.09897; -155.55085
18.05889; -155.69338
19.03039; -155.77129
20.01030; -155.78720
20.99547; -155.74374
21.98272; -155.64353
22.96889; -155.48918
23.95081; -155.28331
24.92532; -155.02855
25.88924; -154.72751
26.83941; -154.38281
27.77266; -153.99708
28.68583; -153.57294
29.57575; -153.11299
30.43996; -152.61970
31.27893; -152.09476
32.09384; -151.53970
32.88590; -150.95605
33.65631; -150.34533
34.40627; -149.70907
35.13697; -149.04880
35.84962; -148.36603
36.54541; -147.66230
37.22555; -146.93913
37.89123; -146.19805
38.54365; -145.44058
39.18400; -144.66824
39.81350; -143.88256
40.43334; -143.08508
41.04471; -142.27730
41.64882; -141.46076
42.24687; -140.63699
42.84005; -139.80750
43.42957; -138.97383
44.01661; -138.13750
44.60239; -137.30004
45.18810; -136.46296
45.77494; -135.62780
46.36411; -134.79608
46.95681; -133.96933
47.55423; -133.14907
48.15758; -132.33683
48.76806; -131.53413
49.38683; -130.74243
50.01496; -129.96296
50.65350; -129.19684
51.30347; -128.44522
51.96592; -127.70925
52.64188; -126.99006
53.33239; -126.28881
54.03848; -125.60664
54.76119; -124.94468
55.50157; -124.30409
56.26064; -123.68600
57.03944; -123.09157
57.83902; -122.52192
58.66041; -121.97822
59.50464; -121.46159
60.37226; -120.97322
61.26181; -120.51442
62.17129; -120.08656
63.09873; -119.69098
64.04215; -119.32904
64.99954; -119.00209
65.96894; -118.71148
66.94835; -118.45858
67.93580; -118.24473
68.92929; -118.07129
69.92684; -117.93962
70.92647; -117.85106
71.92620; -117.80697
72.92403; -117.80871
73.91811; -117.85722
74.90713; -117.95175
75.88990; -118.09115
76.86525; -118.27424
77.83200; -118.49984
78.78895; -118.76680
79.73494; -119.07394
80.66879; -119.42010
81.58930; -119.80410
82.49530; -120.22477
83.38561; -120.68095
84.25905; -121.17146
85.11444; -121.69514
85.95060; -122.25082
86.76634; -122.83733
87.56049; -123.45350
88.33187; -124.09815
89.07929; -124.77013
89.80157; -125.46825
90.49754; -126.19136
91.16601; -126.93829
91.80580; -127.70785
92.41573; -128.49889
92.99463; -129.31023
93.54130; -130.14071
94.05457; -130.98915
94.53326; -131.85440
94.97619; -132.73527
95.38217; -133.63059
95.75003; -134.53921
96.07921; -135.46002
96.37167; -136.39224
96.63000; -137.33515
96.85680; -138.28805
97.05468; -139.25023
97.22621; -140.22097
97.37401; -141.19957
97.50066; -142.18531
97.60877; -143.17748
97.70093; -144.17537
97.77974; -145.17827
97.84779; -146.18548
97.90769; -147.19627
97.96202; -148.20995
98.01338; -149.22579
98.06438; -150.24309
98.11760; -151.26114
98.17565; -152.27923
98.24112; -153.29664
98.31660; -154.31266
98.40470; -155.32659
98.50801; -156.33772
98.62913; -157.34533
98.77065; -158.34871
98.93517; -159.34715
99.12529; -160.33994
99.34360; -161.32638
99.59270; -162.30574
99.87519; -163.27733
100.19324; -164.24002
100.54733; -165.19106
100.93749; -166.12727
101.36376; -167.04549
101.82618; -167.94254
102.32478; -168.81525
102.85961; -169.66045
103.43069; -170.47496
104.03808; -171.25561
104.68179; -171.99922
105.36189; -172.70264
106.07839; -173.36267
106.83134; -173.97615
107.62078; -174.53991
108.44674; -175.05077
109.30849; -175.50599
110.20224; -175.90446
111.12341; -176.24553
112.06743; -176.52853
113.02973; -176.75278
114.00575; -176.91764
114.99090; -177.02242
115.98063; -177.06645
116.97036; -177.04908
117.95552; -176.96964
118.93154; -176.82745
119.89385; -176.62185
120.83787; -176.35218
121.75905; -176.01776
122.65331; -175.61864
123.51856; -175.15762
124.35320; -174.63819
125.15560; -174.06384
125.92417; -173.43804
126.65730; -172.76430
127.35338; -172.04609
128.01079; -171.28690
128.62793; -170.49021
129.20320; -169.65952
129.73498; -168.79831
130.22166; -167.91007
130.66164; -166.99828
131.05331; -166.06642
131.39506; -165.11799
131.68583; -164.15616
131.92671; -163.18291
132.11931; -162.19995
132.26522; -161.20895
132.36604; -160.21163
