# delta; F_drive; F_brake; gamma_y
-0.00000; 81.37964; -0.00001; 0.00003
-0.00000; 81.37964; -0.00001; 0.00004
-0.00000; 81.37964; -0.00001; 0.00006
-0.00000; 81.37964; -0.00001; 0.00008
-0.00000; 81.37964; -0.00001; 0.00010
0.00000; 81.37964; -0.00001; 0.00012
0.00000; 81.37964; -0.00001; 0.00010
0.00000; 81.37964; -0.00001; 0.00004
0.00000; 81.37964; -0.00001; -0.00009
0.00000; 81.37964; -0.00001; -0.00030
0.00000; 81.37964; -0.00001; -0.00060
0.00000; 81.37964; -0.00001; -0.00092
-0.00000; 81.37964; -0.00001; -0.00114
-0.00000; 81.37964; -0.00001; -0.00105
-0.00001; 81.37964; -0.00001; -0.00030
-0.00001; 81.37964; -0.00001; 0.00150
-0.00002; 81.37965; -0.00001; 0.00471
-0.00002; 81.37965; -0.00001; 0.00945
-0.00002; 81.37965; -0.00001; 0.01523
-0.00000; 81.37965; -0.00001; 0.02048
0.00004; 81.37965; -0.00001; 0.02211
0.00011; 81.37968; -0.00001; 0.01517
0.00020; 81.37975; -0.00001; -0.00684
0.00031; 81.37986; -0.00001; -0.05087
0.00040; 81.37995; -0.00001; -0.12149
0.00040; 81.37995; -0.00001; -0.21607
0.00020; 81.37997; -0.00001; -0.31937
-0.00041; 81.38152; -0.00001; -0.40793
-0.00234; 81.40090; -0.00001; -0.54504
-0.01196; 81.85580; -0.00001; -1.63458
-0.02502; 83.04403; -0.00001; 0.18811
-0.03950; 84.88069; -0.00001; 5.32912
-0.03814; 84.17142; -0.00001; 16.99739
-0.03407; 84.01440; -0.00001; 24.65430
-0.03864; 84.41350; -0.00001; 26.75639
-0.04652; 85.43708; -0.00001; 29.50162
-0.04834; 86.27259; -0.00001; 35.62988
-0.03001; 87.31910; -0.00001; 45.07471
-0.04495; 85.70058; -0.00001; 37.55871
-0.04279; 86.53273; -0.00001; 42.43332
-0.04901; 86.94933; -0.00001; 42.72983
-0.04288; 87.80495; -0.00001; 48.11758
-0.03985; 87.75138; -0.00001; 48.86812
-0.04991; 87.28615; -0.00001; 45.52216
-0.03570; 88.92801; -0.00001; 52.70735
-0.02826; 88.35115; -0.00001; 50.90408
-0.03921; 85.96724; -0.00001; 43.25860
-0.04682; 86.48447; -0.00001; 42.86217
-0.01701; 90.66188; -0.00001; 53.69503
-0.05266; 85.80646; -0.00001; 35.21606
-0.06068; 88.18741; -0.00001; 42.12810
-0.03218; 90.97664; -0.00001; 57.03174
-0.02361; 89.18957; -0.00001; 52.34707
-0.02692; 86.24295; -0.00001; 44.47124
-0.05287; 85.93138; -0.00001; 35.47940
-0.05496; 87.69753; -0.00001; 43.62760
-0.03549; 89.57580; -0.00001; 53.82875
-0.02996; 88.27266; -0.00001; 50.67736
-0.04939; 86.32247; -0.00001; 41.66456
-0.04985; 87.67255; -0.00001; 46.87496
-0.03587; 89.13938; -0.00001; 53.26135
-0.04106; 87.34839; -0.00001; 48.29388
-0.04891; 87.33637; -0.00001; 46.57276
-0.03747; 88.75837; -0.00001; 52.51225
-0.04369; 87.40030; -0.00001; 48.23336
-0.04246; 87.78490; -0.00001; 49.54496
-0.04307; 87.76064; -0.00001; 49.43118
-0.03595; 88.30891; -0.00001; 51.43828
-0.04972; 87.06314; -0.00001; 45.37516
-0.03352; 89.12408; -0.00001; 53.37998
-0.04114; 86.99528; -0.00001; 47.14602
-0.03284; 87.84422; -0.00001; 49.81200
-0.02710; 87.41933; -0.00001; 48.04059
-0.04194; 85.48620; -0.00001; 40.02533
-0.03891; 86.45577; -0.00001; 44.08740
-0.02823; 87.35522; -0.00001; 47.18917
-0.02823; 86.03274; -0.00001; 43.04087
-0.03653; 85.08593; -0.00001; 38.48363
-0.02754; 86.08153; -0.00001; 42.44648
-0.03582; 84.95916; -0.00001; 37.49772
-0.03848; 85.38013; -0.00001; 38.50208
-0.05699; 86.95844; -0.00001; 35.93104
-0.06779; 89.66419; -0.00001; 42.18682
-0.09158; 95.76919; -0.00001; 46.14350
-0.09874; 99.62813; -0.00001; 60.63189
-0.11123; 104.80658; -0.00001; 70.75399
-0.11417; 108.93120; -0.00001; 84.18905
-0.12763; 114.32619; -0.00001; 91.35505
-0.14990; 123.56598; -0.00001; 98.15421
-0.12918; 129.57130; -0.00001; 121.96003
-0.13063; 130.42911; -0.00001; 125.44324
-0.14559; 132.36883; -0.00001; 125.22383
-0.16807; 139.89499; -0.00001; 127.15026
-0.13252; 153.04915; -0.00001; 153.25784
-0.15699; 145.72610; -0.00001; 142.81977
