# inner_x; inner_y
-14.58299; -22.38311
-13.98929; -21.57812
-13.39459; -20.77331
-12.79881; -19.96859
-12.20277; -19.16314
-11.60488; -18.35794
-11.00648; -17.55190
-10.40698; -16.74537
-9.80541; -15.93798
-9.20121; -15.12784
-8.59778; -14.31834
-8.01345; -13.52656
-7.46074; -12.75844
-6.94299; -12.00855
-6.47333; -11.28671
-6.03784; -10.55640
-5.63996; -9.83133
-5.30837; -9.14845
-5.02412; -8.45837
-4.78415; -7.77549
-4.58908; -7.06835
-4.41672; -6.30535
-4.28363; -5.53605
-4.18466; -4.67475
-4.09642; -3.73201
-4.02895; -2.68377
-4.01170; -2.01003
-4.00626; -0.78936
