# delta; F_drive; F_brake; gamma_y
0.00206; 81.38746; -0.00001; 0.46621
0.00384; 81.40148; -0.00001; 0.57040
0.00655; 81.43545; -0.00001; 0.66140
0.01051; 81.51148; -0.00001; 0.70932
0.01609; 81.66995; -0.00001; 0.66574
0.02367; 81.97768; -0.00001; 0.45175
0.03275; 82.46677; -0.00001; -0.25300
0.04370; 83.23653; -0.00001; -1.44552
0.05625; 84.35470; -0.00001; -3.31840
0.06905; 85.74543; -0.00001; -6.27570
0.08118; 87.35925; -0.00001; -10.40547
0.08437; 88.26716; -0.00001; -17.61209
0.22361; 128.33957; -0.00001; 8.25709
0.19012; 112.30553; -0.00001; -18.60892
0.14513; 107.45103; -0.00001; -47.58247
0.26177; 136.74019; -0.00001; -24.20075
0.26179; 138.95980; -0.00001; -43.72465
0.26179; 145.89085; -0.00001; -61.15056
0.11990; 184.79421; -0.00000; -106.01600
-0.03403; 250.61812; -0.00000; -118.91927
-0.09717; 274.09207; -0.00000; -119.90318
-0.10702; 275.02810; -0.00000; -119.49617
-0.11404; 274.05931; -0.00000; -118.89655
-0.12056; 272.10196; -0.00000; -118.11888
-0.12729; 269.41785; -0.00000; -117.15069
-0.13454; 266.11382; -0.00000; -115.96929
-0.14249; 262.24602; -0.00000; -114.54386
-0.15127; 257.85242; -0.00000; -112.83473
-0.16100; 252.96588; -0.00000; -110.79115
-0.17181; 247.62066; -0.00000; -108.34751
-0.18382; 241.85840; -0.00000; -105.41895
-0.19723; 235.73974; -0.00000; -101.89860
-0.21224; 229.36321; -0.00000; -97.65662
-0.22909; 222.89064; -0.00000; -92.54273
-0.24803; 216.57340; -0.00000; -86.39325
-0.26169; 207.80528; -0.00000; -78.99334
-0.26176; 193.60898; -0.00000; -70.03076
-0.26176; 179.70510; -0.00000; -59.37762
-0.26173; 166.71935; -0.00000; -46.87610
-0.09239; 91.24415; -0.00001; -5.56743
-0.00341; 86.74712; -0.00001; 26.22615
0.00799; 86.70250; -0.00001; 25.12868
0.00408; 84.50896; -0.00001; 19.77882
-0.00410; 82.91399; -0.00001; 14.79942
-0.01520; 82.17160; -0.00001; 10.84260
-0.02894; 82.27986; -0.00001; 8.12002
-0.04474; 83.20030; -0.00001; 6.86787
-0.06132; 84.77868; -0.00001; 7.38622
-0.07692; 86.72401; -0.00001; 9.90841
-0.09019; 88.80188; -0.00001; 14.35936
-0.10051; 90.98472; -0.00001; 20.37411
-0.11193; 93.87070; -0.00001; 26.35276
-0.10884; 96.23664; -0.00001; 36.52120
-0.18704; 111.28427; -0.00001; 22.97325
-0.01951; 131.30496; -0.00001; 79.12609
-0.18523; 112.43362; -0.00001; 35.85347
-0.26178; 136.67427; -0.00001; 28.52965
-0.26179; 139.99936; -0.00001; 47.99466
-0.26180; 148.07850; -0.00001; 64.95225
-0.26180; 159.86966; -0.00001; 78.64436
-0.10767; 218.55866; -0.00000; 115.71093
0.04549; 285.66108; -0.00000; 124.11288
0.06605; 294.63846; -0.00000; 124.51391
0.06245; 293.33543; -0.00000; 124.48211
0.06846; 295.21510; -0.00000; 124.48614
0.07547; 296.88492; -0.00000; 124.41495
0.07985; 296.96759; -0.00000; 124.23720
0.08360; 296.28035; -0.00000; 123.97872
0.08728; 295.06564; -0.00000; 123.64428
0.09113; 293.41864; -0.00000; 123.23095
0.09529; 291.37262; -0.00000; 122.72954
0.09988; 288.92594; -0.00000; 122.12543
0.10501; 286.05969; -0.00000; 121.40017
0.11075; 282.75402; -0.00000; 120.53352
0.11718; 279.00001; -0.00000; 119.50446
0.12435; 274.80201; -0.00000; 118.28971
0.13229; 270.17283; -0.00000; 116.86144
0.14106; 265.12927; -0.00000; 115.18504
0.15071; 259.68990; -0.00000; 113.21637
0.16133; 253.87500; -0.00000; 110.89844
0.17304; 247.70894; -0.00000; 108.15698
0.18598; 241.22652; -0.00000; 104.89579
0.20033; 234.48701; -0.00000; 100.99368
0.21635; 227.59699; -0.00000; 96.30407
0.23428; 220.74180; -0.00000; 90.66108
0.25439; 214.21712; -0.00000; 83.89994
0.26177; 202.54840; -0.00000; 75.77152
0.26178; 188.19442; -0.00000; 66.11795
0.26178; 174.62903; -0.00000; 54.94644
0.26177; 162.48443; -0.00001; 42.25662
0.22543; 136.62417; -0.00001; 24.04883
0.04598; 90.68080; -0.00001; -35.42945
-0.11846; 138.95830; -0.00001; -65.59823
-0.22261; 169.00052; -0.00000; -62.97121
-0.26149; 171.85423; -0.00000; -53.01599
-0.26174; 160.35467; -0.00001; -40.23679
-0.26178; 150.77187; -0.00001; -25.97234
-0.26179; 143.39687; -0.00001; -9.90873
-0.26180; 138.59583; -0.00001; 8.24174
-0.26165; 137.12444; -0.00001; 28.10754
-0.09374; 147.29185; -0.00001; 89.94293
0.07402; 212.38371; -0.00000; 107.32325
0.17270; 243.51548; -0.00000; 107.18320
0.18648; 239.13102; -0.00000; 104.37635
0.20077; 234.05228; -0.00000; 100.99110
0.21630; 228.59061; -0.00000; 96.91665
0.23354; 223.00429; -0.00000; 92.01844
0.25287; 217.56972; -0.00000; 86.14277
0.26140; 207.49870; -0.00000; 79.04910
0.26147; 193.89839; -0.00000; 70.47894
0.21681; 162.06049; -0.00001; 58.54590
0.02938; 84.82860; -0.00001; 15.81937
0.01825; 82.56344; -0.00001; 8.95709
0.01287; 81.85787; -0.00001; 5.23207
0.00844; 81.53871; -0.00001; 2.59021
0.00552; 81.42937; -0.00001; 0.99778
0.00307; 81.39109; -0.00001; -0.06395
0.00154; 81.38461; -0.00001; -0.56999
0.00070; 81.38431; -0.00001; -0.73553
0.00019; 81.38423; -0.00001; -0.75228
-0.00010; 81.38360; -0.00001; -0.68791
-0.00024; 81.38265; -0.00001; -0.58626
-0.00029; 81.38170; -0.00001; -0.47474
-0.00028; 81.38094; -0.00001; -0.36916
-0.00025; 81.38041; -0.00001; -0.27747
-0.00021; 81.38007; -0.00001; -0.20244
-0.00016; 81.37987; -0.00001; -0.14367
-0.00013; 81.37975; -0.00001; -0.09919
-0.00009; 81.37970; -0.00001; -0.06651
-0.00007; 81.37967; -0.00001; -0.04314
-0.00005; 81.37965; -0.00001; -0.02687
-0.00003; 81.37965; -0.00001; -0.01586
-0.00002; 81.37965; -0.00001; -0.00864
-0.00001; 81.37964; -0.00001; -0.00409
-0.00001; 81.37964; -0.00001; -0.00135
-0.00000; 81.37964; -0.00001; 0.00019
-0.00000; 81.37964; -0.00001; 0.00095
-0.00000; 81.37964; -0.00001; 0.00125
-0.00000; 81.37964; -0.00001; 0.00128
0.00000; 81.37964; -0.00001; 0.00117
0.00000; 81.37964; -0.00001; 0.00100
0.00000; 81.37964; -0.00001; 0.00082
0.00000; 81.37964; -0.00001; 0.00065
0.00000; 81.37964; -0.00001; 0.00050
0.00000; 81.37964; -0.00001; 0.00037
0.00000; 81.37964; -0.00001; 0.00028
0.00000; 81.37964; -0.00001; 0.00020
0.00000; 81.37964; -0.00001; 0.00015
0.00000; 81.37964; -0.00001; 0.00011
0.00000; 81.37964; -0.00001; 0.00008
0.00000; 81.37964; -0.00001; 0.00006
0.00000; 81.37964; -0.00001; 0.00004
0.00000; 81.37964; -0.00001; 0.00003
0.00000; 81.37964; -0.00001; 0.00002
0.00000; 81.37964; -0.00001; 0.00002
0.00000; 81.37964; -0.00001; 0.00002
0.00000; 81.37964; -0.00001; 0.00001
0.00000; 81.37964; -0.00001; 0.00001
0.00000; 81.37964; -0.00001; 0.00001
0.00000; 81.37964; -0.00001; 0.00001
0.00000; 81.37964; -0.00001; 0.00001
0.00000; 81.37964; -0.00001; 0.00000
0.00000; 81.37964; -0.00001; 0.00000
0.00000; 81.37964; -0.00001; 0.00000
0.00000; 81.37964; -0.00001; 0.00000
0.00000; 81.37964; -0.00001; -0.00000
0.00000; 81.37964; -0.00001; -0.00000
0.00000; 81.37964; -0.00001; -0.00000
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00001
0.00000; 81.37964; -0.00001; -0.00002
0.00000; 81.37964; -0.00001; -0.00002
0.00000; 81.37964; -0.00001; -0.00002
0.00000; 81.37964; -0.00001; -0.00002
0.00000; 81.37964; -0.00001; -0.00003
0.00000; 81.37964; -0.00001; -0.00003
0.00000; 81.37964; -0.00001; -0.00003
0.00000; 81.37964; -0.00001; -0.00003
0.00000; 81.37964; -0.00001; -0.00003
0.00000; 81.37964; -0.00001; -0.00004
0.00000; 81.37964; -0.00001; -0.00004
0.00000; 81.37964; -0.00001; -0.00004
0.00000; 81.37964; -0.00001; -0.00004
0.00000; 81.37964; -0.00001; -0.00005
0.00000; 81.37964; -0.00001; -0.00005
0.00000; 81.37964; -0.00001; -0.00005
0.00000; 81.37964; -0.00001; -0.00006
0.00000; 81.37964; -0.00001; -0.00006
0.00000; 81.37964; -0.00001; -0.00006
0.00000; 81.37964; -0.00001; -0.00006
0.00000; 81.37964; -0.00001; -0.00006
0.00000; 81.37964; -0.00001; -0.00006
0.00000; 81.37964; -0.00001; -0.00006
0.00000; 81.37964; -0.00001; -0.00007
0.00000; 81.37964; -0.00001; -0.00007
0.00000; 81.37964; -0.00001; -0.00008
0.00000; 81.37964; -0.00001; -0.00008
0.00000; 81.37964; -0.00001; -0.00008
0.00000; 81.37964; -0.00001; -0.00009
0.00000; 81.37964; -0.00001; -0.00009
0.00000; 81.37964; -0.00001; -0.00009
0.00000; 81.37964; -0.00001; -0.00009
0.00000; 81.37964; -0.00001; -0.00010
0.00000; 81.37964; -0.00001; -0.00010
0.00000; 81.37964; -0.00001; -0.00010
0.00000; 81.37964; -0.00001; -0.00011
0.00000; 81.37964; -0.00001; -0.00012
0.00000; 81.37964; -0.00001; -0.00012
0.00000; 81.37964; -0.00001; -0.00013
0.00000; 81.37964; -0.00001; -0.00013
0.00000; 81.37964; -0.00001; -0.00014
