# track_x; track_y
62.59517; 56.76076
63.28035; 57.45886
64.02707; 58.10942
64.82745; 58.71411
65.67359; 59.27462
66.55759; 59.79262
67.47156; 60.26981
68.40761; 60.70786
69.35785; 61.10846
70.31440; 61.47327
71.27205; 61.80309
72.23101; 62.09685
73.19219; 62.35328
74.15645; 62.57111
75.12470; 62.74906
76.09781; 62.88585
77.07668; 62.98022
78.06218; 63.03089
79.05521; 63.03658
80.05662; 62.99601
81.06483; 62.90762
82.07328; 62.76922
83.07487; 62.57858
84.06247; 62.33346
85.02896; 62.03161
85.96724; 61.67080
86.87018; 61.24878
87.73065; 60.76332
88.54156; 60.21216
89.29579; 59.59311
89.98878; 58.90676
90.62087; 58.15929
91.19299; 57.35746
91.70604; 56.50807
92.16095; 55.61790
92.55863; 54.69374
92.89999; 53.74236
93.18595; 52.77056
93.41742; 51.78512
93.59534; 50.79280
93.72212; 49.79827
93.80301; 48.80220
93.84355; 47.80482
93.84931; 46.80635
93.82585; 45.80703
93.77871; 44.80708
93.71346; 43.80674
93.63565; 42.80622
93.55085; 41.80576
93.46459; 40.80559
93.38243; 39.80593
93.30786; 38.80690
93.24060; 37.80843
93.17993; 36.81041
93.12516; 35.81273
93.07558; 34.81531
93.03049; 33.81802
92.98919; 32.82078
92.95096; 31.82347
92.91511; 30.82600
92.88093; 29.82827
92.84798; 28.83020
92.81626; 27.83182
92.78581; 26.83313
92.75670; 25.83416
92.72897; 24.83492
92.70268; 23.83542
92.67789; 22.83568
92.65465; 21.83573
92.63301; 20.83557
92.61302; 19.83522
92.59474; 18.83471
92.57822; 17.83403
92.56352; 16.83323
92.55068; 15.83230
92.53977; 14.83126
92.53083; 13.83014
92.52392; 12.82895
92.51909; 11.82770
92.51640; 10.82642
92.51590; 9.82511
92.51744; 8.82380
92.52052; 7.82252
92.52462; 6.82128
92.52919; 5.82012
92.53371; 4.81906
92.53763; 3.81812
92.54043; 2.81733
92.54157; 1.81672
92.54052; 0.81631
92.53674; -0.18388
92.52970; -1.18382
92.51886; -2.18348
92.50370; -3.18283
92.48367; -4.18186
92.45825; -5.18054
92.42690; -6.17884
92.38909; -7.17674
92.34427; -8.17420
92.29192; -9.17122
92.23153; -10.16775
92.16424; -11.16391
92.09411; -12.16001
92.02547; -13.15641
91.96268; -14.15343
