# delta; F_drive; F_brake; gamma_y
-0.00001; 81.37969; -0.00006; 0.00023
-0.00001; 81.37969; -0.00006; 0.00029
-0.00001; 81.37969; -0.00006; 0.00039
-0.00001; 81.37969; -0.00006; 0.00051
-0.00002; 81.37969; -0.00006; 0.00068
-0.00002; 81.37969; -0.00006; 0.00091
-0.00003; 81.37969; -0.00006; 0.00121
-0.00004; 81.37970; -0.00006; 0.00162
-0.00005; 81.37970; -0.00006; 0.00217
-0.00007; 81.37970; -0.00006; 0.00291
-0.00010; 81.37970; -0.00006; 0.00390
-0.00013; 81.37971; -0.00006; 0.00524
-0.00017; 81.37972; -0.00006; 0.00705
-0.00023; 81.37973; -0.00006; 0.00947
-0.00031; 81.37977; -0.00006; 0.01275
-0.00042; 81.37983; -0.00006; 0.01715
-0.00057; 81.37993; -0.00006; 0.02309
-0.00076; 81.38012; -0.00006; 0.03110
-0.00103; 81.38047; -0.00006; 0.04191
-0.00138; 81.38110; -0.00006; 0.05651
-0.00186; 81.38223; -0.00006; 0.07625
-0.00249; 81.38428; -0.00006; 0.10301
-0.00335; 81.38797; -0.00006; 0.13941
-0.00450; 81.39462; -0.00006; 0.18917
-0.00604; 81.40654; -0.00006; 0.25786
-0.00809; 81.42777; -0.00006; 0.35401
-0.01079; 81.46511; -0.00006; 0.49092
-0.01432; 81.52973; -0.00006; 0.68886
-0.01887; 81.63914; -0.00006; 0.97823
-0.02460; 81.81846; -0.00006; 1.40818
-0.03155; 82.09757; -0.00006; 2.06189
-0.03954; 82.50149; -0.00006; 3.06610
-0.04809; 83.03861; -0.00006; 4.57688
-0.05650; 83.69965; -0.00006; 6.73841
-0.06403; 84.47718; -0.00006; 9.62798
-0.07019; 85.39654; -0.00006; 13.20294
-0.07422; 86.49371; -0.00006; 17.43064
-0.11659; 91.03537; -0.00005; 13.49299
0.07433; 120.95674; -0.00004; 54.22012
-0.11671; 91.32407; -0.00005; 15.90773
-0.05779; 93.72559; -0.00005; 36.55694
0.13312; 143.35034; -0.00003; 61.22945
-0.03337; 93.17751; -0.00005; 36.15131
-0.22490; 116.27808; -0.00004; -1.50471
-0.18073; 103.89476; -0.00005; 21.47312
0.01353; 132.29908; -0.00004; 66.64454
-0.18355; 106.79083; -0.00005; 31.01007
-0.26179; 125.06854; -0.00004; 25.52516
-0.26180; 129.37694; -0.00004; 41.75386
-0.26180; 138.69905; -0.00003; 56.05802
-0.06115; 198.41345; -0.00002; 90.21435
0.13215; 262.91494; -0.00002; 94.50542
0.26179; 301.35022; -0.00001; 93.60604
0.26174; 305.44154; -0.00001; 94.00017
0.15574; 281.72817; -0.00001; 95.62902
0.10999; 271.89755; -0.00001; 96.09569
0.08758; 267.85164; -0.00002; 96.31633
0.07878; 0.00683; -0.00502; 96.91445
-0.02568; 0.00002; -216.85584; 96.92790
-0.03967; 0.00002; -215.07558; 97.45811
-0.04852; 0.00002; -213.22605; 97.85142
-0.05361; 0.00002; -211.83762; 98.10356
-0.05780; 0.00002; -212.45639; 98.15521
0.03789; 296.34387; -0.00001; 96.94717
0.05438; 390.66323; -0.00001; 95.27818
0.07240; 412.55225; -0.00001; 93.51192
0.08929; 433.07486; -0.00001; 91.72935
0.10447; 451.21440; -0.00001; 90.05359
0.11769; 466.52430; -0.00001; 88.57035
0.12901; 479.06032; -0.00001; 87.31490
0.13865; 489.18034; -0.00001; 86.28117
0.14692; 497.35538; -0.00001; 85.43917
0.15366; 313.16151; -0.00001; 85.34597
0.15785; 213.61139; -0.00002; 85.18683
0.16199; 212.54048; -0.00002; 84.66764
0.16737; 210.97363; -0.00002; 83.93539
0.17357; 208.87525; -0.00002; 82.98213
0.18048; 206.25415; -0.00002; 81.78637
0.18844; 203.23204; -0.00002; 80.31610
0.19752; 199.84125; -0.00002; 78.52730
0.20781; 196.12372; -0.00002; 76.36427
0.21942; 192.13839; -0.00002; 73.75865
0.23246; 187.97095; -0.00002; 70.62967
0.24707; 183.74622; -0.00002; 66.88597
0.26175; 179.14940; -0.00002; 62.42380
0.26179; 170.03599; -0.00003; 57.04439
0.26180; 160.87044; -0.00003; 50.67369
0.26180; 151.98204; -0.00003; 43.22824
0.26180; 143.74170; -0.00003; 34.65459
0.26180; 136.52720; -0.00003; 24.90491
0.26180; 130.67114; -0.00004; 13.87007
0.25476; 124.20895; -0.00004; 0.36301
0.06648; 108.19253; -0.00005; -52.98649
-0.12191; 162.61939; -0.00003; -72.06221
-0.22849; 188.94115; -0.00002; -71.51166
-0.24273; 186.18761; -0.00002; -68.59887
-0.25768; 182.89475; -0.00002; -65.00662
-0.26108; 175.67639; -0.00003; -60.60228
-0.26112; 167.09705; -0.00003; -55.27402
-0.12634; 116.57959; -0.00004; -42.12305
-0.01639; 84.62827; -0.00006; -16.64534
-0.01526; 83.64954; -0.00006; -13.69415
-0.01202; 82.74986; -0.00006; -10.62125
-0.00927; 82.18663; -0.00006; -8.14795
-0.00712; 81.85147; -0.00006; -6.22751
-0.00546; 81.65434; -0.00006; -4.74908
-0.00418; 81.53907; -0.00006; -3.61582
-0.00320; 81.47200; -0.00006; -2.75017
-0.00245; 81.43314; -0.00006; -2.09085
-0.00188; 81.41066; -0.00006; -1.58914
-0.00145; 81.39761; -0.00006; -1.20653
-0.00111; 81.39001; -0.00006; -0.91357
-0.00085; 81.38559; -0.00006; -0.68899
-0.00065; 81.38303; -0.00006; -0.51767
-0.00049; 81.38158; -0.00006; -0.38811
-0.00038; 81.38076; -0.00006; -0.29078
-0.00029; 81.38030; -0.00006; -0.21777
-0.00023; 81.38004; -0.00006; -0.16290
-0.00020; 81.37990; -0.00006; -0.12153
-0.00017; 81.37982; -0.00006; -0.09019
-0.00017; 81.37977; -0.00006; -0.06628
-0.00017; 81.37975; -0.00006; -0.04784
-0.00019; 81.37974; -0.00006; -0.03333
-0.00023; 81.37975; -0.00006; -0.02157
-0.00028; 81.37976; -0.00006; -0.01157
-0.00037; 81.37980; -0.00006; -0.00246
-0.00048; 81.37987; -0.00006; 0.00652
-0.00063; 81.38000; -0.00006; 0.01619
-0.00085; 81.38023; -0.00006; 0.02740
-0.00113; 81.38065; -0.00006; 0.04115
-0.00152; 81.38140; -0.00006; 0.05869
-0.00204; 81.38277; -0.00006; 0.08160
-0.00274; 81.38525; -0.00006; 0.11202
-0.00369; 81.38970; -0.00006; 0.15284
-0.00495; 81.39770; -0.00006; 0.20811
-0.00662; 81.41195; -0.00006; 0.28382
-0.00884; 81.43710; -0.00006; 0.38903
-0.01175; 81.48081; -0.00006; 0.53771
-0.01551; 81.55533; -0.00006; 0.75066
-0.02029; 81.67940; -0.00006; 1.05740
-0.02629; 81.88048; -0.00006; 1.49549
-0.03386; 82.20687; -0.00006; 2.06845
-0.04577; 82.89812; -0.00006; 2.28535
-0.11357; 92.77492; -0.00005; -7.88530
-0.26167; 133.39558; -0.00004; -19.91212
-0.26178; 128.70854; -0.00004; -9.33167
-0.26179; 125.54812; -0.00004; 2.38037
-0.26180; 124.27711; -0.00004; 15.22271
-0.17790; 115.15513; -0.00004; 48.35465
-0.01505; 157.87420; -0.00003; 78.88696
0.14885; 208.37046; -0.00002; 84.55674
0.26176; 238.21737; -0.00002; 83.79608
0.26177; 235.90072; -0.00002; 83.25830
0.26178; 232.87176; -0.00002; 82.52472
0.26178; 229.13873; -0.00002; 81.57545
0.26178; 224.71347; -0.00002; 80.38439
