# inner_x; inner_y
96.55975; 3.96250
96.51736; 2.96146
96.52531; 1.96249
96.50856; 0.96292
96.53626; -0.03478
96.54209; -1.03297
96.51704; -2.03197
96.51550; -3.02982
96.54142; -4.02639
96.52102; -5.02429
96.56209; -6.01966
96.43591; -7.02075
96.37985; -8.01949
96.33739; -9.02101
96.27989; -10.02722
96.24220; -11.02975
96.17266; -12.02931
96.15935; -13.02787
96.10227; -14.02915
96.05303; -15.03204
96.02256; -16.03560
95.96704; -17.04126
95.90779; -18.03921
95.90647; -19.02126
95.96536; -19.98847
96.05696; -20.87088
96.08512; -21.58200
96.21904; -22.24398
96.44790; -23.06864
96.71453; -23.93155
96.93486; -24.63430
97.22003; -25.22051
97.49448; -25.80345
97.87570; -26.38160
98.29443; -26.97777
98.70787; -27.46818
99.21131; -27.90712
99.79790; -28.46729
100.43324; -28.97453
100.97431; -29.39001
101.58630; -29.70153
102.31983; -30.11994
103.18143; -30.52821
104.14080; -30.86871
105.12867; -31.18776
106.07715; -31.51444
107.07403; -31.70858
108.05196; -31.93862
109.03617; -32.13735
110.05421; -32.24975
111.03094; -32.43436
112.03070; -32.56303
113.00879; -32.73253
113.97964; -32.91864
114.95289; -33.11262
115.93729; -33.30045
116.89341; -33.55069
117.86415; -33.77542
118.82735; -34.02702
119.79493; -34.27985
120.73475; -34.60097
121.64485; -34.99308
122.58302; -35.34897
123.48171; -35.77628
124.45680; -36.20838
125.52707; -36.82325
126.55915; -37.47178
127.53634; -38.09484
128.55437; -38.88555
129.54795; -39.75796
130.42955; -40.59765
131.31073; -41.47887
132.12901; -42.56475
132.88008; -43.64185
133.46404; -44.65378
134.04428; -45.71994
134.51129; -47.01377
134.89210; -48.30479
135.21160; -49.45862
135.38071; -50.61269
135.53914; -51.93246
135.58949; -53.32440
135.54295; -54.61573
135.27917; -55.96458
134.91855; -57.39947
134.45610; -58.72193
133.91012; -59.87466
133.37266; -60.96205
132.74612; -61.96639
132.14182; -62.93049
131.49850; -63.78406
130.93936; -64.58714
130.37116; -65.36205
129.76298; -66.17421
129.13530; -66.97287
128.58221; -67.79319
127.98964; -68.58934
127.44173; -69.42213
126.88994; -70.25196
126.36221; -71.09123
125.82533; -71.91703
125.33751; -72.77984
124.80707; -73.62164
124.30858; -74.48654
123.78004; -75.33612
123.22609; -76.18254
122.71712; -77.06354
122.09362; -77.92032
121.36842; -78.82978
120.69168; -79.78237
120.00406; -80.62200
119.26497; -81.42106
118.45296; -82.33775
117.39449; -83.28528
116.26386; -84.12838
115.23836; -84.77229
114.30043; -85.31708
113.36051; -85.81756
112.32866; -86.31553
111.26101; -86.76557
110.31217; -87.21385
