# outer_x; outer_y
-54.39040; -123.11686
-53.68437; -122.38649
-52.98061; -121.65833
-52.31545; -120.88795
-51.65181; -120.11150
-50.95570; -119.36291
-50.24112; -118.63067
-49.53272; -117.89287
-48.82939; -117.15198
-48.11580; -116.42384
-47.45332; -115.65140
-46.80979; -114.86616
-46.16463; -114.09134
-45.48041; -113.36027
-44.84345; -112.63158
-44.23380; -111.98583
-43.58932; -111.38495
-42.97978; -110.82348
-42.45007; -110.39525
-41.86205; -109.99039
-41.20360; -109.57286
-40.54876; -109.20914
-39.85764; -108.87344
-39.20249; -108.59775
-38.61306; -108.40345
-37.95882; -108.25334
-37.20008; -108.11713
-36.34708; -108.04247
-35.41005; -108.01490
-34.41068; -108.05193
-33.40367; -108.15502
-32.42337; -108.28265
-31.44209; -108.45470
-30.45435; -108.64983
-29.46986; -108.83799
-28.48479; -109.07125
-27.50156; -109.29765
-26.52046; -109.49039
-25.53614; -109.69455
-24.54842; -109.87818
-23.54895; -110.03556
-22.54204; -110.17725
-21.54263; -110.30996
-20.54928; -110.41100
-19.55404; -110.49587
-18.55807; -110.56037
-17.56205; -110.59584
-16.56722; -110.59298
-15.57161; -110.57427
-14.57190; -110.57701
-13.57734; -110.50534
-12.58186; -110.42364
-11.58327; -110.33365
-10.57321; -110.26720
-9.55510; -110.16332
-8.54457; -110.04482
-7.49427; -109.92073
-6.33130; -109.77256
-5.18328; -109.54599
-4.13806; -109.32555
-3.10480; -109.11431
-2.06493; -108.86781
-1.05409; -108.60933
-0.03436; -108.34873
1.02794; -108.05151
2.06332; -107.70850
3.04253; -107.40049
3.99722; -107.09967
4.94654; -106.78529
5.89214; -106.46710
6.83385; -106.13866
7.77539; -105.80861
8.72621; -105.50351
9.67759; -105.19338
10.64761; -104.91973
11.64149; -104.61775
12.66185; -104.26289
13.66196; -103.89078
14.61562; -103.52726
15.55038; -103.16355
16.47581; -102.77958
17.41195; -102.42889
18.35023; -102.08443
19.27570; -101.70634
20.20310; -101.33245
21.13275; -100.96379
22.06298; -100.59619
22.99887; -100.24272
23.94337; -99.91085
24.88263; -99.56434
25.81936; -99.20878
26.75696; -98.85476
27.70266; -98.49865
28.66915; -98.14334
29.62067; -97.75038
30.55578; -97.36756
31.48201; -96.98488
32.39194; -96.56329
33.31463; -96.17642
34.24445; -95.80962
35.17560; -95.45146
36.10805; -95.09932
37.04396; -94.75090
37.97869; -94.38884
38.90803; -94.01275
39.86772; -93.63112
40.88605; -93.20277
41.87902; -92.72045
42.83718; -92.28017
43.80330; -91.81280
44.75178; -91.30724
45.65018; -90.80852
46.55828; -90.31042
47.52777; -89.79491
48.45121; -89.20446
49.36873; -88.65782
50.31173; -88.05656
51.23140; -87.41769
52.07557; -86.80229
52.88862; -86.19677
53.73963; -85.58694
54.62430; -84.90909
55.48979; -84.20613
56.27790; -83.52147
57.06936; -82.86401
57.87775; -82.15985
58.65066; -81.41949
59.40367; -80.72479
60.15233; -80.03821
60.93624; -79.31062
61.73549; -78.50859
62.45253; -77.66823
63.16752; -76.89335
63.91352; -76.10566
64.61772; -75.25855
65.29798; -74.40932
65.93558; -73.55564
66.56067; -72.71852
67.20977; -71.83970
67.84565; -70.90400
68.41064; -69.98295
68.95766; -69.11606
69.49306; -68.25718
70.04825; -67.36621
70.63411; -66.37724
71.19031; -65.33002
71.67650; -64.33707
72.12839; -63.37115
72.58567; -62.35233
73.01572; -61.31107
73.40514; -60.30479
73.76501; -59.32917
74.12248; -58.31423
74.50448; -57.17774
74.80546; -56.02197
75.05821; -54.98810
75.29698; -54.00094
75.50846; -52.98559
75.74165; -51.94195
75.92835; -50.85276
76.11654; -49.71024
76.22314; -48.57660
76.33136; -47.49940
76.39774; -46.36458
76.40555; -45.22622
76.40322; -44.19071
76.38836; -43.15828
76.36410; -42.03995
76.28485; -40.90655
76.19242; -39.81504
76.06317; -38.72724
75.92418; -37.60688
75.73443; -36.50675
75.56389; -35.44936
75.36454; -34.36498
75.12063; -33.21938
74.83054; -32.11078
74.55298; -31.09047
74.24976; -30.06247
73.92121; -28.94805
73.47284; -27.78240
72.90436; -26.54478
72.18442; -25.32651
71.37081; -24.20312
70.51338; -23.22500
69.67232; -22.37077
68.77296; -21.54092
67.73946; -20.71907
66.62716; -19.97066
65.46198; -19.31386
64.24796; -18.75186
63.06664; -18.31142
61.92367; -17.94596
60.73329; -17.64105
59.54821; -17.41303
58.40867; -17.24088
57.28073; -17.12143
56.16687; -17.03035
55.07886; -16.98620
54.04096; -16.95962
52.99637; -16.90797
51.88449; -16.88117
50.78080; -16.89085
49.74706; -16.92077
48.73247; -16.95167
47.70326; -16.95038
46.67811; -16.98470
45.66590; -17.01090
44.66067; -17.04916
43.65689; -17.08169
42.65460; -17.11222
41.65363; -17.15438
40.65361; -17.19616
39.65453; -17.24234
38.65541; -17.26525
37.65668; -17.28297
36.65812; -17.30277
35.65985; -17.31875
34.65747; -17.34095
33.64488; -17.36656
32.63372; -17.42167
31.63306; -17.47558
30.63616; -17.51810
29.63932; -17.56385
28.64374; -17.62695
27.64788; -17.67723
26.65174; -17.72350
25.65454; -17.75171
24.65742; -17.79221
23.65907; -17.82220
22.65887; -17.82149
21.65405; -17.84725
20.63479; -17.88606
19.61007; -17.93719
18.59807; -18.00460
17.59755; -18.07963
16.59854; -18.13389
15.59967; -18.18236
14.60218; -18.24807
13.60422; -18.30562
12.60497; -18.34787
11.60533; -18.40230
10.60508; -18.45535
9.59610; -18.51262
8.56742; -18.57615
7.53975; -18.65446
6.53251; -18.74308
5.53236; -18.81796
4.53321; -18.90463
3.53023; -18.97395
2.51945; -19.03549
1.51163; -19.13325
0.51155; -19.23696
-0.48615; -19.33268
-1.48434; -19.42175
-2.48248; -19.50775
-3.47969; -19.60444
-4.47899; -19.67672
-5.47792; -19.75388
-6.47632; -19.83748
-7.47527; -19.91458
-8.47449; -19.98805
-9.47269; -20.06587
-10.47023; -20.15396
-11.46943; -20.23471
-12.47691; -20.30754
-13.50256; -20.37907
-14.52989; -20.47685
-15.54099; -20.58064
-16.54070; -20.68685
-17.54741; -20.78661
-18.57117; -20.89816
-19.59629; -21.02333
-20.61456; -21.14521
-21.63144; -21.27834
-22.63642; -21.43008
-23.63835; -21.56736
-24.65021; -21.70329
-25.68525; -21.87795
-26.77658; -22.05068
-27.85458; -22.26882
-28.86870; -22.49082
-29.86609; -22.71035
-30.87534; -22.96873
-31.95011; -23.21185
-33.06378; -23.52541
-34.11289; -23.88908
-35.09275; -24.22758
-36.05348; -24.53895
-37.06482; -24.88249
-38.20368; -25.29611
-39.31208; -25.78790
-40.27734; -26.25694
-41.18132; -26.70233
-42.12188; -27.18682
-43.16281; -27.73344
-44.17301; -28.33802
-45.04818; -28.94307
-45.97925; -29.51101
-46.97286; -30.22385
-47.90764; -31.00172
-48.79099; -31.74749
-49.64114; -32.55192
-50.43668; -33.40211
-51.23765; -34.25524
-51.92299; -35.17011
-52.59909; -35.97392
-53.21971; -36.76910
-53.89699; -37.61814
-54.63608; -38.63392
-55.29136; -39.69566
-55.83821; -40.69611
-56.40752; -41.76389
-56.92141; -42.91782
-57.38261; -44.13065
-57.77060; -45.43504
-58.04168; -46.65894
-58.23097; -47.77887
-58.39699; -49.03519
-58.47390; -50.48238
