# delta; F_drive; F_brake; gamma_y
0.00053; 101.94783; -0.00005; 3.33149
0.00050; 101.93857; -0.00005; 3.16909
0.00048; 101.93023; -0.00005; 3.01508
0.00045; 101.92265; -0.00005; 2.86815
0.00043; 101.91581; -0.00005; 2.72870
0.00041; 101.90959; -0.00005; 2.59532
0.00039; 101.90404; -0.00005; 2.47032
0.00037; 101.89884; -0.00005; 2.34728
0.00036; 101.89444; -0.00005; 2.23732
0.00033; 101.89004; -0.00005; 2.12276
0.00033; 101.88652; -0.00005; 2.02541
0.00029; 101.88287; -0.00005; 1.92051
0.00030; 101.88008; -0.00005; 1.83475
0.00025; 101.87685; -0.00005; 1.73290
0.00030; 101.87502; -0.00005; 1.66909
0.00019; 101.87179; -0.00005; 1.55807
0.00030; 101.87083; -0.00005; 1.51833
0.00017; 101.86786; -0.00005; 1.40663
0.00027; 101.86716; -0.00005; 1.37414
0.00014; 101.86470; -0.00005; 1.27157
0.00027; 101.86433; -0.00005; 1.25063
0.00009; 101.86185; -0.00005; 1.13745
0.00029; 101.86219; -0.00005; 1.14717
0.00004; 101.85957; -0.00005; 1.01692
0.00029; 101.86029; -0.00005; 1.04779
-0.00001; 101.85767; -0.00005; 0.90435
0.00038; 101.85925; -0.00005; 0.98439
-0.00021; 101.85555; -0.00005; 0.75761
0.00057; 101.85909; -0.00005; 0.96233
-0.00035; 101.85409; -0.00005; 0.63232
0.00053; 101.85767; -0.00005; 0.87772
-0.00017; 101.85390; -0.00005; 0.61925
0.00021; 101.85501; -0.00005; 0.70767
0.00021; 101.85459; -0.00005; 0.67282
-0.00023; 101.85284; -0.00005; 0.51018
0.00064; 101.85600; -0.00005; 0.75124
-0.00063; 101.85180; -0.00005; 0.32788
0.00083; 101.85646; -0.00005; 0.76282
-0.00053; 101.85159; -0.00005; 0.30634
0.00035; 101.85352; -0.00005; 0.56531
0.00024; 101.85287; -0.00005; 0.50375
-0.00052; 101.85131; -0.00005; 0.24651
0.00093; 101.85562; -0.00005; 0.68274
-0.00096; 101.85144; -0.00005; 0.06854
0.00107; 101.85601; -0.00005; 0.69194
-0.00096; 101.85142; -0.00005; 0.03415
0.00069; 101.85373; -0.00005; 0.54697
0.00001; 101.85139; -0.00005; 0.30554
-0.00189; 101.85468; -0.00005; -0.27481
0.00317; 101.87574; -0.00005; 1.29647
0.02150; 102.69867; -0.00005; 6.58531
0.01474; 102.19081; -0.00005; 3.74508
-0.00372; 101.91492; -0.00005; -2.44160
0.06454; 108.45495; -0.00005; 16.89145
0.03635; 103.53610; -0.00005; 6.82884
