# inner_x; inner_y
53.60677; -74.50821
54.32908; -73.84630
55.00883; -73.21835
55.61879; -72.60639
56.19013; -71.92085
56.82701; -71.23226
57.45774; -70.57639
58.02779; -69.88987
58.59408; -69.18363
59.14782; -68.43936
59.71576; -67.67895
60.25445; -66.95364
60.74127; -66.23733
61.21845; -65.45279
61.73998; -64.62663
62.26586; -63.78308
62.77370; -62.96951
63.21578; -62.22774
63.60553; -61.49322
64.00591; -60.67482
64.40813; -59.81480
64.77714; -58.99424
65.11636; -58.17258
65.45332; -57.30170
65.78894; -56.39109
66.09793; -55.51128
66.35972; -54.74608
66.55887; -53.96190
66.78083; -53.05548
67.01114; -52.10496
67.20409; -51.17247
67.40594; -50.27888
67.55107; -49.41359
67.68907; -48.60219
67.76191; -47.76576
67.85401; -46.87932
67.90381; -46.04336
67.90557; -45.20622
67.90355; -44.26596
67.88985; -43.31723
67.87368; -42.44345
67.81148; -41.57884
67.73508; -40.66558
67.62424; -39.74435
67.51463; -38.84358
67.35374; -37.92589
67.19782; -36.95230
67.02553; -36.01149
66.84328; -35.15212
66.61480; -34.29060
66.35978; -33.35357
66.09384; -32.45643
65.86806; -31.66773
65.60694; -31.00382
65.36060; -30.46160
65.07536; -29.98604
64.73760; -29.51823
64.30228; -29.02778
63.76453; -28.48208
63.22008; -27.97641
62.70574; -27.56827
62.16756; -27.20682
61.59873; -26.88520
61.01106; -26.61140
60.33552; -26.36070
59.59845; -26.12173
58.89029; -25.93884
58.14257; -25.79600
57.33120; -25.67231
56.49425; -25.58497
55.62289; -25.51293
54.70790; -25.47810
53.73096; -25.45396
52.75494; -25.40454
51.83804; -25.38104
50.90943; -25.38988
49.91522; -25.41911
48.90609; -25.44989
47.91313; -25.44779
46.92105; -25.48122
45.91913; -25.50713
44.91400; -25.54538
43.90976; -25.57793
42.90636; -25.60849
41.90458; -25.65067
40.90385; -25.69248
39.90425; -25.73867
38.90493; -25.76159
37.90633; -25.77931
36.90885; -25.79907
35.91184; -25.81502
34.92003; -25.83689
33.93913; -25.86147
32.95930; -25.91544
31.96914; -25.96894
30.97418; -26.01137
29.97907; -26.05706
28.98365; -26.12015
27.98705; -26.17047
26.98999; -26.21677
25.99218; -26.24500
24.99488; -26.28551
23.99763; -26.31546
22.99939; -26.31467
22.00747; -26.33990
21.03034; -26.37685
20.05914; -26.42532
19.07682; -26.49111
18.08382; -26.56571
17.08663; -26.61987
16.08830; -26.66831
15.09025; -26.73404
14.09141; -26.79164
13.09181; -26.83391
12.09367; -26.88826
11.09567; -26.94118
10.10621; -26.99730
9.13586; -27.05713
8.16618; -27.13134
7.17847; -27.21850
6.18175; -27.29312
5.18562; -27.37956
4.19035; -27.44828
3.20110; -27.50811
2.21456; -27.60414
1.22150; -27.70726
0.22466; -27.80291
-0.77296; -27.89193
-1.77128; -27.97794
-2.76886; -28.07467
-3.76857; -28.14698
-4.76794; -28.22417
-5.76683; -28.30782
-6.76634; -28.38497
-7.76624; -28.45849
-8.76646; -28.53648
-9.76565; -28.62471
-10.76432; -28.70542
-11.75580; -28.77690
-12.72923; -28.84382
-13.69579; -28.93583
-14.67644; -29.03656
-15.66710; -29.14184
-16.65127; -29.23924
-17.61500; -29.34421
-18.57328; -29.46155
-19.53819; -29.57679
-20.50066; -29.70279
-21.46897; -29.84953
-22.44350; -29.98296
-23.40813; -30.11205
-24.33898; -30.27065
-25.21864; -30.40668
-26.09695; -30.58512
-27.03265; -30.79015
-27.98536; -30.99967
-28.91250; -31.23899
-29.79336; -31.43368
-30.61297; -31.66442
-31.45889; -31.96412
-32.37408; -32.28108
-33.32008; -32.58746
-34.20720; -32.88774
-34.96179; -33.15360
-35.68987; -33.47747
-36.52219; -33.88247
-37.40733; -34.31857
-38.23889; -34.74806
-38.96745; -35.12594
-39.66877; -35.54648
-40.42676; -36.07697
-41.19756; -36.53848
-41.82555; -36.98810
-42.41873; -37.49185
-43.06081; -38.02563
-43.65854; -38.59001
-44.22085; -39.19982
-44.79199; -39.79631
-45.29509; -40.49185
-45.91480; -41.22466
-46.53474; -42.01897
-47.11465; -42.74159
-47.56285; -43.34767
-47.96215; -44.00061
-48.37849; -44.77072
-48.76542; -45.48522
-49.07497; -46.18638
-49.33921; -46.87905
-49.53327; -47.53180
-49.69842; -48.28373
-49.84288; -49.15361
-49.94023; -49.89141
-49.97421; -50.41232
-49.90966; -50.93799
-49.84165; -51.52710
-49.71739; -52.02593
-49.54237; -52.48641
-49.27692; -52.99593
-48.95482; -53.52296
-48.58558; -54.00903
-48.17370; -54.45911
-47.70239; -54.88383
-47.17501; -55.29615
-46.59347; -55.67010
-45.99680; -56.00858
-45.34482; -56.29824
-44.62000; -56.59082
-43.86149; -56.83545
-43.15488; -57.03476
-42.42808; -57.18133
-41.58321; -57.30371
-40.71559; -57.41492
-39.86469; -57.48770
-38.98235; -57.53469
-38.07644; -57.52986
-37.15888; -57.56312
-36.25051; -57.53876
-35.37918; -57.51036
-34.49787; -57.43782
-33.54419; -57.33585
-32.58718; -57.24406
-31.69335; -57.15393
-30.84842; -57.02818
-30.05508; -56.88227
-29.24680; -56.69179
-28.33744; -56.45546
-27.41330; -56.20125
-26.55498; -55.96049
-25.71805; -55.69338
-24.87556; -55.40239
-24.04388; -55.09063
-23.18363; -54.74221
-22.29634; -54.37171
-21.43123; -54.01120
-20.58232; -53.60797
-19.71426; -53.15173
-18.84195; -52.66707
-17.98937; -52.14608
-17.15208; -51.59517
-16.31080; -51.05122
-15.46752; -50.51091
-14.63962; -49.93947
-13.81997; -49.35236
-12.99918; -48.76967
-12.18036; -48.18403
-11.35787; -47.60707
-10.54260; -47.01455
-9.71784; -46.44249
-8.90078; -45.85337
-8.07851; -45.27529
-7.24547; -44.72047
-6.41285; -44.16460
-5.57850; -43.61235
-4.73247; -43.08503
-3.88165; -42.56719
-3.02176; -42.06538
-2.14704; -41.59108
-1.23646; -41.15000
-0.27707; -40.70947
0.71163; -40.29045
1.68308; -39.91867
2.62386; -39.54121
3.56601; -39.15808
4.54888; -38.78575
5.61149; -38.40666
6.70095; -38.06102
7.74755; -37.75939
8.79566; -37.47813
9.85287; -37.22068
10.89134; -36.97972
11.92514; -36.75726
12.96087; -36.54594
13.99317; -36.36902
15.00082; -36.18654
16.01561; -35.98135
17.08470; -35.79411
18.16729; -35.63401
19.23189; -35.49378
20.30190; -35.37093
21.35230; -35.27477
22.40965; -35.17615
23.55651; -35.10308
24.72210; -35.07796
25.82750; -35.08947
26.92279; -35.13018
28.05726; -35.20509
29.19280; -35.32426
30.33118; -35.48558
31.52495; -35.70981
32.67901; -35.98844
33.78446; -36.29981
34.96974; -36.69026
36.18398; -37.19072
37.37559; -37.76521
38.48205; -38.41973
39.49313; -39.07415
40.48375; -39.79889
41.47192; -40.62001
42.41309; -41.51832
43.27951; -42.46942
44.06896; -43.46198
44.81876; -44.53762
45.49529; -45.70507
46.09000; -46.94162
46.55784; -48.18875
46.92550; -49.42101
47.20775; -50.71007
47.38454; -51.94308
47.47426; -53.13096
47.54190; -54.44323
