# delta; F_drive; F_brake; gamma_y
0.00000; 81.37969; -0.00006; 0.00000
0.00000; 81.37969; -0.00006; -0.00000
0.00000; 81.37969; -0.00006; -0.00000
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00001
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00002
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00003
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00004
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00005
0.00000; 81.37969; -0.00006; -0.00006
0.00000; 81.37969; -0.00006; -0.00009
0.00000; 81.37969; -0.00006; -0.00016
0.00000; 81.37969; -0.00006; -0.00029
0.00000; 81.37969; -0.00006; -0.00048
0.00000; 81.37969; -0.00006; -0.00076
0.00000; 81.37969; -0.00006; -0.00109
0.00000; 81.37969; -0.00006; -0.00140
-0.00000; 81.37969; -0.00006; -0.00158
-0.00001; 81.37969; -0.00006; -0.00138
-0.00001; 81.37969; -0.00006; -0.00044
-0.00002; 81.37969; -0.00006; 0.00153
-0.00002; 81.37969; -0.00006; 0.00496
-0.00002; 81.37969; -0.00006; 0.00984
-0.00001; 81.37969; -0.00006; 0.01533
0.00001; 81.37970; -0.00006; 0.02034
0.00006; 81.37971; -0.00006; 0.02248
0.00018; 81.37978; -0.00006; 0.02130
0.00061; 81.38075; -0.00006; 0.05884
0.00377; 81.42325; -0.00006; 0.55911
0.00431; 81.41655; -0.00006; -0.70357
0.00097; 81.40673; -0.00006; -2.54115
-0.00026; 81.40548; -0.00006; -2.24803
-0.00076; 81.39625; -0.00006; -1.60395
-0.00086; 81.38816; -0.00006; -0.97940
-0.00075; 81.38311; -0.00006; -0.48057
-0.00053; 81.38070; -0.00006; -0.13701
-0.00031; 81.37995; -0.00006; 0.05182
-0.00015; 81.37980; -0.00006; 0.12726
-0.00004; 81.37978; -0.00006; 0.13629
0.00002; 81.37976; -0.00006; 0.11206
0.00004; 81.37974; -0.00006; 0.07753
0.00005; 81.37971; -0.00006; 0.04469
0.00004; 81.37970; -0.00006; 0.01885
0.00003; 81.37970; -0.00006; 0.00222
0.00002; 81.37970; -0.00006; -0.00570
0.00002; 81.37969; -0.00006; -0.00867
0.00002; 81.37969; -0.00006; -0.01073
0.00001; 81.37969; -0.00006; -0.01340
0.00000; 81.37969; -0.00006; -0.01423
-0.00000; 81.37969; -0.00006; -0.01151
-0.00000; 81.37969; -0.00006; -0.00845
-0.00000; 81.37969; -0.00006; -0.00672
-0.00000; 81.37969; -0.00006; -0.00510
-0.00001; 81.37969; -0.00006; -0.00339
-0.00001; 81.37969; -0.00006; -0.00149
-0.00001; 81.37969; -0.00006; 0.00153
-0.00001; 81.37969; -0.00006; 0.00441
-0.00001; 81.37969; -0.00006; 0.00724
0.00000; 81.37969; -0.00006; 0.01127
0.00004; 81.37970; -0.00006; 0.01386
0.00011; 81.37973; -0.00006; 0.01485
0.00041; 81.38017; -0.00006; 0.04158
0.00257; 81.39991; -0.00006; 0.38399
0.00294; 81.39689; -0.00006; -0.47486
0.00064; 81.39240; -0.00006; -1.73585
-0.00023; 81.39198; -0.00006; -1.53127
-0.00058; 81.38763; -0.00006; -1.07990
-0.00065; 81.38372; -0.00006; -0.63872
-0.00049; 81.38098; -0.00006; -0.27205
-0.00030; 81.38000; -0.00006; -0.05537
-0.00020; 81.37980; -0.00006; 0.03473
-0.00001; 81.37976; -0.00006; 0.10398
0.00031; 81.38018; -0.00006; 0.13440
0.00122; 81.38436; -0.00006; 0.19358
0.00295; 81.40222; -0.00006; 0.13263
0.01334; 81.89240; -0.00006; 1.50647
0.01552; 81.85085; -0.00006; -2.72809
0.00324; 81.75047; -0.00006; -9.35969
-0.00126; 81.73018; -0.00006; -8.17464
-0.00276; 81.58866; -0.00006; -5.68124
-0.00264; 81.46996; -0.00006; -3.35628
-0.00122; 81.39690; -0.00006; -1.54206
0.00672; 81.51155; -0.00006; 0.77773
0.00887; 81.53261; -0.00006; -1.38903
0.00170; 81.50125; -0.00006; -5.40336
-0.00070; 81.49241; -0.00006; -4.67622
-0.00104; 81.43488; -0.00006; -3.16746
0.00206; 81.38431; -0.00006; -1.36708
0.00321; 81.39474; -0.00006; -1.57775
0.00012; 81.41805; -0.00006; -2.93411
-0.00055; 81.40634; -0.00006; -2.25429
0.00090; 81.38219; -0.00006; -1.16564
0.00146; 81.38334; -0.00006; -1.11012
-0.00017; 81.39360; -0.00006; -1.69510
-0.00063; 81.39014; -0.00006; -1.26600
-0.00071; 81.38507; -0.00006; -0.76997
-0.00061; 81.38184; -0.00006; -0.37080
-0.00043; 81.38035; -0.00006; -0.10013
-0.00028; 81.37988; -0.00006; 0.04814
