# outer_x; outer_y
25.61804; -109.96814
24.68667; -110.33365
23.76240; -110.71743
22.83417; -111.09112
21.90262; -111.45640
20.96770; -111.81309
20.02723; -112.15565
19.09373; -112.51609
18.15538; -112.86414
17.21606; -113.20976
16.28526; -113.57720
15.35745; -113.95233
14.42405; -114.31319
13.49670; -114.68955
12.56999; -115.06753
11.63980; -115.43663
10.69315; -115.76360
9.77107; -116.15343
8.83944; -116.51881
7.90033; -116.86505
6.96844; -117.22972
6.03633; -117.59382
5.11315; -117.98074
4.18722; -118.36060
3.26325; -118.74540
2.33632; -119.12261
1.41176; -119.50580
0.48879; -119.89303
-0.42565; -120.30202
-1.33708; -120.71865
-2.27176; -121.07568
-3.21274; -121.41652
-4.13629; -121.80188
-5.06098; -122.18422
-5.98517; -122.56777
-6.91353; -122.94051
-7.83814; -123.32277
-8.77105; -123.68368
-9.71209; -124.02364
-10.63962; -124.39808
-11.56642; -124.77425
-12.49241; -125.15236
-13.42262; -125.51953
-14.35076; -125.89186
-15.27574; -126.27212
-16.19863; -126.65760
-17.11948; -127.04813
-18.04290; -127.43192
-18.97130; -127.80279
-19.89980; -128.17322
-20.81028; -128.58963
-21.72841; -128.98624
-22.65815; -129.35297
-23.58668; -129.72259
-24.50533; -130.11728
-25.42131; -130.51863
-26.32834; -130.94265
-27.24794; -131.33432
-28.17689; -131.70179
-29.09434; -132.09848
-30.00749; -132.50598
-30.93436; -132.87808
-31.86247; -133.24678
-32.78614; -133.62660
-33.72001; -133.98004
-34.66218; -134.31198
-35.59642; -134.66400
-36.53871; -134.99511
-37.47490; -135.34126
-38.40008; -135.71266
-39.33415; -136.05824
-40.27100; -136.39893
-41.21542; -136.72362
-42.13807; -137.10552
-43.06059; -137.48916
-43.99587; -137.84182
-44.92089; -138.22323
-45.84639; -138.60645
-46.75689; -139.03276
-47.66052; -139.48595
-48.55126; -140.00331
-49.45918; -140.50347
-50.36681; -140.99206
-51.25562; -141.47816
-52.13875; -141.88640
-53.05366; -142.23327
-53.94808; -142.57064
-54.71886; -142.85551
-55.49718; -143.05505
-56.37417; -143.27987
-57.23165; -143.52325
-58.03175; -143.69552
-58.74826; -143.79303
-59.33679; -143.80983
